
Offense
OFF, , , , , , , , , , 
LWR,18,"Hodgins, Isaiah W/Buf",19,"Golladay, Kenny U/Det",15,"Johnson, Collin W/Jax",,,,
RWR,3,"Shepard, Sterling 16/2",86,"Slayton, Darius 19/5",84,"Johnson, Marcus SF22",,,,
SWR,17,"Robinson, Wan'Dale 22/2",80,"James, Richie U/SF",,,,,,
LT,78,"Thomas, Andrew 20/1",74,"Peart, Matt 20/3",,,,,,
LG,75,"Ezeudu, Joshua 22/3",68,"Bredeson, Ben T/Bal",66,"Lemieux, Shane 20/5",67,"Davis, Wyatt W/Arz",,
C,76,"FELICIANO, JON SF22",65,"Gates, Nick CF18",,,,,,
RG,64,"GLOWINSKI, MARK U/Ind",60,"McKethan, Marcus 22/5",77,"Anderson, Jack W/Phi",,,,
RT,73,"Neal, Evan 22/1",79,"Phillips, Tyre W/Bal",,,,,,
TE,82,"Bellinger, Daniel 22/4",89,"Vannett, Nick SF22",83,"Cager, Lawrence SF22",,,,
QB,8,"Jones, Daniel 19/1",2,"TAYLOR, TYROD U/Hou",,,,,,
RB,26,"Barkley, Saquon 18/1",31,"Breida, Matt U/Buf",23,"Brightwell, Gary 21/6",,,,
Defense
DEF, , , , , , , , , , 
DE,51,"Ojulari, Azeez 21/2",55,"Ward, Jihad U/Jax",49,"Fox, Tomon CF22",,,,
NT,97,"Lawrence, Dexter 19/1",71,"ELLIS, JUSTIN U/Bal",98,"Davidson, D.J. 22/5",,,,
DT,99,"Williams, Leonard T/NYJ",93,"WILLIAMS, NICK U/Det",90,"Anderson, Ryder CF22",96,"Mondeaux, Henry SF22",,
RUSH,5,"Thibodeaux, Kayvon 22/1",53,"Ximines, Oshane 19/3",94,"Smith, Elerson 21/4",,,,
MLB,57,"Davis, Jarrad P/Det",41,"McFadden, Micah 22/5",52,"Coughlin, Carter 20/7",43,"Beavers, Darrian 22/6",,
WLB,54,"Smith, Jaylon SF22",21,"Collins, Landon 15/2",47,"Brown, Cam 20/6",,,,
LCB,22,"Jackson, Adoree' CC/Ten",28,"Flott, Cor'Dale 22/3",25,"Williams, Rodarius 21/6",,,,
SS,20,"Love, Julian 19/4",36,"JEFFERSON, TONY SF22",24,"Belton, Dane 22/4",,,,
FS,29,"McKinney, Xavier 20/2",27,"Pinnock, Jason W/NYJ",,,,,,
RCB,33,"Robinson, Aaron 21/3",37,"Moreau, Fabian SF22",,,,,,
NB,30,"Holmes, Darnay 20/4",44,"McCloud, Nick W/Buf",,,,,,
Special Teams
ST, , , , , , , , , , 
PT,6,"Gillan, Jamie SF22",,,,,,,,
PK,9,"GANO, GRAHAM SF20",,,,,,,,
LS,58,"KREITER, CASEY U/Den",,,,,,,,
H,6,"Gillan, Jamie SF22",,,,,,,,
KO,9,"GANO, GRAHAM SF20",,,,,,,,
PR,80,"James, Richie U/SF",30,"Holmes, Darnay 20/4",22,"Jackson, Adoree' CC/Ten",,,,
KR,23,"Brightwell, Gary 21/6",80,"James, Richie U/SF",,,,,,
Reserves
RES, , , , , , , , , , 
FUT,39,"Thompson, Trenton S",25,"Corbin, Jashaun RB",81,"Pimpleton, Kalil WR",88,"Mickens, Jaydon WR",45,"Miller, Dre TE"
FUT,62,"Hamilton, Devery OT",72,"Kindley, Solomon OG",38,"Gilbert, Zyon CB",91,"Butler, Vernon DT",87,"Polk, Makai WR"
FUT,70,"Cunningham, Korey OT",85,"Myarick, Chris TE",34,"Burgess, Terrell S",13,"Sills V, David WR",,
